"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"45","0.003129283587137858","4.74920826233e-05","2.12391050277e-05","0.00308648576311 - 0.00317208141116","0.00307468672953 - 0.00318388044475"
"46","0.003298640251159668","0.000166771182943","7.45823403499e-05","0.00314835322761 - 0.00344892727471","0.00310692024172 - 0.0034903602606"
"47","0.0034285783767700195","5.03785378089e-05","2.25299670296e-05","0.00338317940337 - 0.00347397735017","0.00337066325274 - 0.0034864935008"
"48","0.0035567680994669595","7.90486637676e-05","3.5351637143e-05","0.00348553284057 - 0.00362800335836","0.00346589382313 - 0.0036476423758"
"49","0.0036697785059611","8.31692969409e-05","3.71944403201e-05","0.00359482990952 - 0.0037447271024","0.00357416715325 - 0.00376538985867"
"50","0.0041751861572265625","0.000189533573303","8.4761990785e-05","0.00400438664563 - 0.00434598566882","0.00395729852328 - 0.00439307379117"
"51","0.004439949989318848","0.000486009431416","0.00021735002527","0.0040019791746 - 0.00487792080404","0.00388123396217 - 0.00499866601647"
"52","0.004383762677510579","0.000245486920025","0.000109785088152","0.00416254041429 - 0.00460498494074","0.00410155112397 - 0.00466597423105"
"53","0.004517356554667155","0.000173252041729","7.74806685095e-05","0.00436122925967 - 0.00467348384966","0.00431818615551 - 0.00471652695383"
"54","0.004519144694010417","4.49699127092e-05","2.0111156352e-05","0.00447861974113 - 0.00455966964689","0.00446744732078 - 0.00457084206724"
"55","0.004771272341410319","9.10279737777e-05","4.07089474442e-05","0.00468924184311 - 0.00485330283971","0.00466662666052 - 0.0048759180223"
"56","0.0048503875732421875","3.18940735611e-05","1.42634633124e-05","0.00482164600471 - 0.00487912914178","0.00481372217352 - 0.00488705297296"
"57","0.00526734193166097","0.000156711658279","7.00835841557e-05","0.00512612011946 - 0.00540856374386","0.00508718634319 - 0.00544749752014"
"58","0.0053212642669677734","0.000119851211918","5.35990914071e-05","0.00521325950505 - 0.00542926902888","0.00518348341614 - 0.0054590451178"
"59","0.005399107933044434","7.68258939006e-05","3.43575842388e-05","0.00532987573884 - 0.00546834012725","0.00531078895105 - 0.00548742691504"
"60","0.0055915117263793945","4.07915887844e-05","1.82425530864e-05","0.00555475209947 - 0.00562827135329","0.00554461775076 - 0.005638405702"
"61","0.005830287933349609","9.27006878784e-05","4.14570079314e-05","0.00574675005698 - 0.00591382580972","0.00572371930176 - 0.00593685656494"
"62","0.005932013193766276","4.97576902634e-05","2.22523155665e-05","0.0058871737015 - 0.00597685268604","0.00587481179555 - 0.00598921459198"
"63","0.006146589914957683","0.000110921509033","4.96056068731e-05","0.00604663221755 - 0.00624654761236","0.00601907464294 - 0.00627410518698"
