"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"1","8.58306884765625e-06","3.64086326004e-06","1.82043163002e-06","4.70218753655e-06 - 1.24639501588e-05","3.52874035913e-06 - 1.36373973362e-05"
"2","1.430511474609375e-05","3.95516230647e-06","1.97758115323e-06","1.00892147297e-05 - 1.85210147624e-05","8.81446923307e-06 - 1.97957602591e-05"
"3","3.39508056640625e-05","5.84315249712e-06","2.92157624856e-06","2.77224527421e-05 - 4.0179158586e-05","2.58392095893e-05 - 4.20624017388e-05"
"4","4.3773651123046874e-05","4.98426000314e-06","2.49213000157e-06","3.84608118005e-05 - 4.90864904456e-05","3.68543889787e-05 - 5.06929132674e-05"
"5","5.092620849609375e-05","5.15469569541e-06","2.57734784771e-06","4.54316977826e-05 - 5.64207192096e-05","4.37703436799e-05 - 5.80820733122e-05"
"6","9.150505065917969e-05","2.00738816019e-05","1.0036940801e-05","7.01078307182e-05 - 0.0001129022706","6.36380355012e-05 - 0.000119372065817"
"7","8.897781372070312e-05","5.62061370903e-06","2.81030685451e-06","8.29866700983e-05 - 9.49689573431e-05","8.11751510104e-05 - 9.6780476431e-05"
"8","0.00011568069458007812","4.76694085592e-06","2.38347042796e-06","0.00011059950082 - 0.00012076188834","0.000109063119777 - 0.000122298269383"
"9","0.0001636028289794922","1.94263013484e-05","9.71315067422e-06","0.000142895879978 - 0.000184309777981","0.000136634799334 - 0.000190570858625"
"10","0.00017938613891601562","1.1111022042e-05","5.55551102102e-06","0.000167542640627 - 0.000191229637205","0.000163961567535 - 0.000194810710297"
"11","0.00021791458129882812","1.1187904555e-05","5.59395227749e-06","0.000205989132141 - 0.000229840030457","0.000202383279879 - 0.000233445882718"
"12","0.0002680301666259766","1.37701126684e-05","6.88505633418e-06","0.000253352281441 - 0.000282708051811","0.000248914185668 - 0.000287146147584"
"13","0.00029582977294921874","1.48152929047e-05","7.40764645236e-06","0.000280037805702 - 0.000311621740196","0.000275262849216 - 0.000316396696683"
"14","0.00034275054931640623","2.24075922967e-05","1.12037961483e-05","0.000318865772559 - 0.000366635326074","0.000311643824341 - 0.000373857274292"
"15","0.0003747463226318359","1.38294285262e-05","6.91471426312e-06","0.000360005211286 - 0.000389487433978","0.000355547998062 - 0.000393944647202"
"16","0.0004179954528808594","8.41371024653e-06","4.20685512326e-06","0.000409027082327 - 0.000426963823435","0.000406315350566 - 0.000429675555196"
"17","0.0004772186279296875","1.56629212108e-05","7.83146060541e-06","0.000460523153845 - 0.000493914102014","0.000455475007465 - 0.000498962248394"
"18","0.0005328178405761719","1.62001170102e-05","8.10005850509e-06","0.000515549756923 - 0.000550085924229","0.000510328472788 - 0.000555307208364"
"19","0.0005986213684082032","3.12742657345e-05","1.56371328673e-05","0.000565285397036 - 0.000631957339781","0.0005552057274 - 0.000642037009417"
"20","0.0006488323211669922","1.41810761574e-05","7.09053807871e-06","0.000633716380386 - 0.000663948261948","0.000629145831425 - 0.000668518810909"
"21","0.0007055759429931641","9.90123395866e-06","4.95061697933e-06","0.00069502198612 - 0.000716129899866","0.000691830826713 - 0.000719321059273"
"22","0.0007992744445800781","5.7546679103e-05","2.87733395515e-05","0.000737934093269 - 0.000860614795891","0.000719386846822 - 0.000879162042338"
"23","0.0008504867553710937","3.64211205557e-06","1.82105602779e-06","0.00084660454294 - 0.000854368967803","0.000845430693276 - 0.000855542817466"
"24","0.0009383678436279297","4.08222182107e-05","2.04111091053e-05","0.000894854486378 - 0.000981881200878","0.000881697519661 - 0.000995038167595"
"25","0.0009975910186767578","8.94041060944e-06","4.47020530472e-06","0.000988061225886 - 0.00100712081147","0.000985179739039 - 0.00101000229831"
"26","0.0010900020599365235","1.58546741736e-05","7.92733708678e-06","0.00107310219188 - 0.00110690192799","0.00106799224368 - 0.00111201187619"
"27","0.0011601924896240234","7.93958927023e-06","3.96979463511e-06","0.00115172949571 - 0.00116865548354","0.00114917057274 - 0.00117121440651"
"28","0.001275014877319336","3.90055710052e-05","1.95027855026e-05","0.00123343792682 - 0.00131659182782","0.00122086646397 - 0.00132916329067"
"29","0.0013351917266845703","3.37172765032e-05","1.68586382516e-05","0.00129925169299 - 0.00137113176038","0.00128838464303 - 0.00138199881034"
"30","0.0014595985412597656","4.02940095329e-05","2.01470047665e-05","0.00141664821399 - 0.00150254886852","0.00140366148849 - 0.00151553559403"
"31","0.001550769805908203","6.03153958354e-05","3.01576979177e-05","0.00148647821467 - 0.00161506139715","0.00146703861314 - 0.00163450099868"
"32","0.0016332149505615234","4.34402053351e-05","2.17201026675e-05","0.0015869110196 - 0.00167951888152","0.00157291027783 - 0.0016935196233"
"33","0.0017131805419921876","1.82040664966e-05","9.10203324828e-06","0.00169377640171 - 0.00173258468228","0.00168790924633 - 0.00173845183765"
"34","0.0018511772155761718","5.69625046892e-05","2.84812523446e-05","0.00179045954944 - 0.00191189488172","0.00177210058191 - 0.00193025384924"
"35","0.001967048645019531","6.67756940571e-05","3.33878470285e-05","0.0018958708708 - 0.00203822641924","0.00187434912056 - 0.00205974816947"
"36","0.002032184600830078","3.54427000543e-05","1.77213500272e-05","0.00199440539781 - 0.00206996380385","0.00198298224529 - 0.00208138695637"
"37","0.0022288799285888673","7.66063196193e-05","3.83031598096e-05","0.00214722346063 - 0.00231053639654","0.00212253330802 - 0.00233522654916"
"38","0.002304220199584961","7.36633314945e-05","3.68316657473e-05","0.00222570073151 - 0.00238273966766","0.0022019591015 - 0.00240648129767"
"39","0.002969980239868164","0.000336348946036","0.000168174473018","0.00261145803086 - 0.00332850244887","0.00250305304744 - 0.0034369074323"
"40","0.0027452945709228516","0.000118916017275","5.94580086375e-05","0.00261853920658 - 0.00287204993526","0.00258021267388 - 0.00291037646797"
"41","0.0027037143707275392","8.88584988795e-05","4.44292494398e-05","0.00260899801831 - 0.00279843072314","0.00258035899859 - 0.00282706974286"
"42","0.0027695655822753905","5.12524754532e-05","2.56262377266e-05","0.00271493436986 - 0.00282419679469","0.00269841573997 - 0.00284071542458"
"43","0.0028921127319335937","1.8463883503e-05","9.2319417515e-06","0.00287243164663 - 0.00291179381724","0.00286648075245 - 0.00291774471142"
"44","0.003019237518310547","2.23486612104e-05","1.11743306052e-05","0.00299541555758 - 0.00304305947904","0.0029882126028 - 0.00305026243382"
"45","0.0031972408294677736","4.862696405e-05","2.4313482025e-05","0.00314540821107 - 0.00324907344787","0.00312973578131 - 0.00326474587763"
"46","0.0033174991607666016","5.63928436651e-05","2.81964218326e-05","0.00325738870964 - 0.0033776096119","0.00323921334339 - 0.00339578497815"
"47","0.003433036804199219","1.3603989466e-05","6.80199473299e-06","0.00341853599362 - 0.00344753761478","0.00341415143922 - 0.00345192216918"
"48","0.0036243915557861326","3.46858966126e-05","1.73429483063e-05","0.00358741904726 - 0.00366136406431","0.00357623981185 - 0.00367254329972"
"49","0.0037452220916748048","2.59311745359e-05","1.29655872679e-05","0.00371758144619 - 0.00377286273716","0.00370922385037 - 0.00378122033298"
"50","0.0038938045501708983","7.42019599331e-05","3.71009799665e-05","0.00381471094544 - 0.0039728981549","0.00379079571594 - 0.0039968133844"
"51","0.004595422744750976","0.000166637674928","8.3318837464e-05","0.00441779974928 - 0.00477304574022","0.0043640925663 - 0.0048267529232"
"52","0.0042308330535888675","0.000164285286781","8.21426433906e-05","0.00405571752367 - 0.00440594858351","0.00400276851342 - 0.00445889759376"
"53","0.004285192489624024","9.94493708006e-05","4.97246854003e-05","0.0041791870791 - 0.00439119790015","0.00414713463024 - 0.00442325034901"
"54","0.004503011703491211","0.000113063711158","5.65318555789e-05","0.00438249444913 - 0.00462352895785","0.00434605410978 - 0.0046599692972"
"55","0.005000162124633789","0.000334148802464","0.000167074401232","0.00464398510012 - 0.00535633914914","0.00453628922113 - 0.00546403502814"
"56","0.00489354133605957","0.000109084043086","5.45420215428e-05","0.00477726610299 - 0.00500981656913","0.00474210840732 - 0.0050449742648"
"57","0.0050586223602294925","0.000109461560686","5.47307803429e-05","0.00494194472232 - 0.00517529999814","0.00490666535304 - 0.00521057936742"
"58","0.005083513259887695","4.50083256917e-05","2.25041628459e-05","0.00503553783276 - 0.00513148868702","0.00502103168711 - 0.00514599483267"
