"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"44","0.0032761240005493163","0.000290136026747","2.9159767845e-05","0.00322770737991 - 0.00332454062119","0.00321826469489 - 0.00333398330621"
"45","0.003215999603271484","0.000226452053098","2.27592876707e-05","0.00317821028331 - 0.00325378892324","0.00317084023887 - 0.00326115896767"
"46","0.0031598925590515135","0.000224139606126","2.25268780053e-05","0.00312248913004 - 0.00319729598806","0.00311519434585 - 0.00320459077225"
"47","0.003410468101501465","0.000222221413943","2.23340924373e-05","0.00337338477194 - 0.00344755143106","0.00336615241669 - 0.00345478378631"
"48","0.0033906221389770506","0.000238839530071","2.400427595e-05","0.00335076565148 - 0.00343047862647","0.00334299244773 - 0.00343825183023"
"49","0.0037367916107177734","0.000149042775214","1.49793625182e-05","0.00371192000967 - 0.00376166321177","0.00370706930569 - 0.00376651391575"
"50","0.00395435094833374","0.000231928996831","2.3309741227e-05","0.00391564766015 - 0.00399305423652","0.00390809936466 - 0.00400060253201"
"51","0.00408087968826294","0.000235006121255","2.36190038678e-05","0.00404166290313 - 0.0041200964734","0.00403401446041 - 0.00412774491612"
"52","0.004300999641418457","0.000277658601424","2.79057394163e-05","0.00425466519849 - 0.00434733408435","0.00424562860022 - 0.00435637068261"
"53","0.004607057571411133","0.00022346274025","2.24588504253e-05","0.00456976709479 - 0.00464434804803","0.00456249433969 - 0.00465162080314"
"54","0.004670403003692627","0.000290966731559","2.92432568199e-05","0.0046218477587 - 0.00471895824869","0.00461237803779 - 0.00472842796959"
"55","0.0049101138114929195","0.000517747071822","5.20355385921e-05","0.00482371446342 - 0.00499651315957","0.00480686401374 - 0.00501336360925"
"56","0.004998440742492676","0.000314151994409","3.1573463412e-05","0.00494601644308 - 0.00505086504191","0.00493579214117 - 0.00506108934381"
"57","0.005148699283599853","0.000387853538291","3.89807472765e-05","0.00508397599557 - 0.00521342257163","0.00507135302407 - 0.00522604554313"
"58","0.005418977737426758","0.000402328579109","4.04355436164e-05","0.00535183891842 - 0.00548611655644","0.00533874484634 - 0.00549921062851"
"59","0.005583839416503906","0.000405420613883","4.07463048038e-05","0.00551618461237 - 0.00565149422064","0.0055029899078 - 0.00566468892521"
"60","0.005708069801330567","0.000334672801931","3.3635882168e-05","0.00565222108005 - 0.00576391852261","0.00564132891375 - 0.00577481068891"
"61","0.0059116148948669435","0.000327884715367","3.2953653799e-05","0.00585689893954 - 0.00596633085019","0.00584622769638 - 0.00597700209335"
"62","0.006087198257446289","0.000324399051571","3.26033314063e-05","0.00603306397432 - 0.00614133254057","0.00602250617459 - 0.0061518903403"
"63","0.006298079490661621","0.000478065957613","4.80474365589e-05","0.00621830195193 - 0.00637785702939","0.00620274295256 - 0.00639341602876"
"64","0.006598682403564453","0.000441981914627","4.44208537861e-05","0.0065249264108 - 0.00667243839633","0.00651054179248 - 0.00668682301465"
"65","0.006796829700469971","0.000484512701257","4.86953586737e-05","0.00671597635759 - 0.00687768304335","0.00670020754433 - 0.00689345185661"
"66","0.006825346946716309","0.000328625113468","3.30280666079e-05","0.00677050743702 - 0.00688018645641","0.00675981209708 - 0.00689088179636"
"67","0.007150273323059082","0.000377579331608","3.79481506527e-05","0.00708726454933 - 0.00721328209679","0.00707497595926 - 0.00722557068686"
"68","0.007384231090545654","0.000590337172224","5.93311181839e-05","0.00728571822664 - 0.00748274395445","0.00726650528009 - 0.007501956901"
"69","0.007590384483337403","0.000478122225041","4.80530916483e-05","0.00751059755495 - 0.00767017141173","0.00749503672432 - 0.00768573224236"
"70","0.007729403972625733","0.00049004790505","4.92516675864e-05","0.00764762693935 - 0.0078111810059","0.00763167797891 - 0.00782712996634"
"71","0.007926194667816163","0.000363666691161","3.65498776767e-05","0.00786550757417 - 0.00798688176146","0.00785367178095 - 0.00799871755468"
"72","0.008190248012542724","0.000450072526605","4.52339908847e-05","0.00811514189413 - 0.00826535413096","0.00810049396104 - 0.00828000206404"
"73","0.008608279228210449","0.000500364253035","5.02884995704e-05","0.00852478064828 - 0.00869177780815","0.0085084959349 - 0.00870806252152"
"74","0.008551042079925537","0.000427353787706","4.29506717139e-05","0.00847972716447 - 0.00862235699538","0.00846581862903 - 0.00863626553082"
"75","0.008875210285186768","0.000604234718519","6.07278741404e-05","0.00877437826004 - 0.00897604231033","0.00875471300789 - 0.00899570756249"
"76","0.009070515632629395","0.000495560230536","4.98056771427e-05","0.00898781872678 - 0.00915321253848","0.00897169036376 - 0.0091693409015"
"77","0.00938166856765747","0.000611460362403","6.14540786747e-05","0.00927963075893 - 0.00948370637639","0.00925973034301 - 0.0095036067923"
