"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"5","4.95147705078125e-05","8.43327193429e-06","8.47575720033e-07","4.81074632782e-05 - 5.09220777374e-05","4.78329963964e-05 - 5.11965446192e-05"
"25","0.0010137295722961427","5.90797572763e-05","5.93773901791e-06","0.00100387060294 - 0.00102358854165","0.00100194780988 - 0.00102551133471"
"45","0.003151366710662842","0.000319083924936","3.20691410802e-05","0.00309811939243 - 0.00320461402889","0.00308773457731 - 0.00321499884401"
"65","0.006642186641693115","0.000291195792047","2.92662782651e-05","0.00659359317209 - 0.00669078011129","0.00658411599625 - 0.00670025728713"
"85","0.010810492038726806","0.000603565948337","6.06606602082e-05","0.010709771615 - 0.0109112124625","0.0106901281285 - 0.010930855949"
"105","0.016602387428283693","0.00107116932045","0.00010765656736","0.016423635416 - 0.0167811394406","0.0163887734424 - 0.0168160014142"
"125","0.024842650890350343","0.00187112163893","0.000188054800408","0.0245304063629 - 0.0251548954178","0.0244695093676 - 0.0252157924131"
"145","0.032795755863189696","0.00116254342613","0.000116840010514","0.0326017557431 - 0.0329897559833","0.0325639199337 - 0.0330275917927"
"165","0.042391526699066165","0.00175691612939","0.000176576714827","0.0420983402834 - 0.0426847131147","0.0420411601883 - 0.0427418932099"
"185","0.053335607051849365","0.00166770815512","0.000167610976071","0.0530573072695 - 0.0536139068342","0.0530030305119 - 0.0536681835918"
"205","0.06505674839019776","0.00134086078403","0.000134761579295","0.0648329914558 - 0.0652805053246","0.0647893521801 - 0.0653241446002"
"225","0.07808355569839477","0.00141615394416","0.000142328826611","0.0778472341734 - 0.0783198772233","0.0778011444279 - 0.0783659669688"
"245","0.09241311073303222","0.00164820512145","0.000165650847437","0.092138065531 - 0.0926881559351","0.0920844235135 - 0.0927417979525"
"265","0.10849081039428711","0.00195691602993","0.000196677461137","0.108164248877 - 0.108817371911","0.108100559642 - 0.108881061147"
"285","0.12662946224212646","0.00471439414099","0.000473814438774","0.125842744938 - 0.127416179546","0.125689311601 - 0.127569612883"
"305","0.14534671783447264","0.00691883414094","0.000695368994915","0.144192133305 - 0.146501302364","0.143966954887 - 0.146726480782"
"325","0.16563619375228883","0.00533819924782","0.000536509210945","0.164745378603 - 0.166527008901","0.164571643081 - 0.166700744423"
"345","0.1845148706436157","0.0148795312735","0.00149544916032","0.182031840084 - 0.186997901204","0.18154757507 - 0.187482166218"
"365","0.21045141458511352","0.019883510755","0.00199836802089","0.207133341997 - 0.213769487173","0.206486218883 - 0.214416610288"
"385","0.22980202674865724","0.0136094803886","0.00136780424366","0.227530936679 - 0.232073116818","0.227088006382 - 0.232516047115"
"405","0.26403677225112915","0.017475114852","0.00175631512522","0.26112060215 - 0.266952942352","0.260551862007 - 0.267521682495"
"425","0.28419713735580443","0.0152385764443","0.00153153455772","0.281654190921 - 0.286740083791","0.281158240525 - 0.287236034187"
"445","0.3185524725914001","0.0200572100857","0.00201582546047","0.315205413825 - 0.321899531358","0.314552637541 - 0.322552307641"
"465","0.34316874980926515","0.0218821382395","0.00219923764094","0.33951715508 - 0.346820344538","0.338804985202 - 0.347532514417"
"485","0.37682435035705564","0.0266499429337","0.00267842004229","0.372377125407 - 0.381271575307","0.371509783906 - 0.382138916808"
